Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
13.09.2013,"53797,51","53311,05","53858,68","52917,36","4,94M","0,92%"
12.09.2013,"53307,09","53570,46","53838,99","52945,21","6,09M","-0,49%"
11.09.2013,"53570,46","53982,47","54303,81","53307,4","6,82M","-0,76%"
10.09.2013,"53979,03","54252,26","54739,92","53769,25","6,83M","-0,50%"
09.09.2013,"54251,85","53751,6","54531,11","53257,16","7,78M","0,93%"
06.09.2013,"53749,42","52353,88","54124,87","52353,88","10,52M","2,67%"
05.09.2013,"52351,86","51715,3","52498,24","51255,52","6,19M","1,23%"
04.09.2013,"51716,16","51621,39","51829,52","51107,58","5,04M","0,18%"
03.09.2013,"51625,5","51833,25","52289,16","51422,03","6,89M","-0,40%"
02.09.2013,"51835,15","50012,33","51976,44","50012,33","9,67M","3,65%"
30.08.2013,"50011,75","49932,22","50480,08","49648,91","14,23M","0,18%"
29.08.2013,"49921,88","49866,92","50557,9",49845,"7,99M","0,11%"
28.08.2013,"49866,92","50091,55","50591,03","49530,29","8,50M","-0,45%"
27.08.2013,"50091,55",51425,51425,"50017,93","5,72M","-2,60%"
26.08.2013,"51429,48","52199,97","52398,44","51429,48","4,28M","-1,47%"
23.08.2013,"52197,06","51400,79","52197,06","51166,27","5,89M","1,56%"
22.08.2013,"51397,66","50408,11","51458,19","50408,11","5,57M","1,97%"
21.08.2013,"50405,2","50500,85","51170,94","50055,36","5,99M","-0,20%"
20.08.2013,"50507,02","51561,17","51561,17","50498,82","5,83M","-2,07%"
19.08.2013,"51574,09",51540,"52089,26","51115,35","6,39M","0,07%"
16.08.2013,"51538,78","50906,33","51554,77","50800,13","7,40M","1,24%"
15.08.2013,"50908,34","50880,05","51452,85","50049,53","8,36M","0,02%"
14.08.2013,"50895,92","50593,66","51364,06","50414,08","11,27M","0,58%"
13.08.2013,"50600,55","50298,84","50733,89","50040,34","6,51M","0,60%"
12.08.2013,"50299,49","49878,26","51380,23","49878,26","7,04M","0,85%"
09.08.2013,"49874,9","48948,82","50000,5","48835,74","6,32M","1,93%"
08.08.2013,"48928,82","47452,88","49230,41","47452,88","5,22M","3,12%"
07.08.2013,"47446,71","47421,73","47665,37","47164,25","4,46M","0,05%"
06.08.2013,"47421,85","48436,44","48522,48","47224,79","5,27M","-2,09%"
05.08.2013,"48436,44","48477,42","48707,32","48263,85","3,74M","-0,08%"
